"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e pas,B z-q,pas,B z-q,f g# B ^A pas,pas,B z-q,C e B z-q,B e z-q,g# f e ",1,1,"GENESIS","003","001",1,"e B f g B ^A B C e B e g f e ",47
"e B tsi,B seg,B rev,C e pas,z-q,f g# ^A e ",1,1,"GENESIS","003","003",1,"e B C e f g ^A e ",32
"e f g# e ^A g# e ",2,1,"GENESIS","003","004",1,"e f g e ^A g e ",15
"e B paz,B t-q,qad,azl,c e B rev,C pas,z-q,f g# ^A c d g# e ",1,1,"GENESIS","003","006",1,"e B c e B C f g ^A c d g e ",53
"e pas,pas,B z-q,B z-q,f g# ^A e pas,B z-q,f g# e ",1,1,"GENESIS","003","007",1,"e B f g ^A e B f g e ",36
"e tar,qad,c d f g# B ^A qad,azl,rev,pas,B z-q,g# f e ",1,1,"GENESIS","003","008",1,"e c d f g B ^A B g f e ",43
"e z-g,f g# ^A d e f g# e ",2,1,"GENESIS","003","010",1,"e f g ^A d e f g e ",24
"e g# e ^A pas,B B z-q,d e f g# e ",1,1,"GENESIS","003","012",1,"e g e ^A B d e f g e ",27
"e qad,c d g# B ^A pas,pas,e z-q,f g# e ",1,1,"GENESIS","003","013",1,"e c d g B ^A e f g e ",31
"e t-q,qad,f e tsi,B B seg,C pas,z-q,g# B ^A B z-q,f g# f e ",1,1,"GENESIS","003","014",1,"e f e B C g B ^A B f g f e ",51
"e B rev,C pas,B z-q,g# B ^A pas,B z-q,g# e ",1,1,"GENESIS","003","016",1,"e B C B g B ^A B g e ",37
"e B rev,e tsi,B seg,pas,pas,z-q,C pas,pas,z-q,f g# ^A C e pas,e z-q,pas,e z-q,g# f e ",1,1,"GENESIS","003","017",1,"e B e B C f g ^A C e g f e ",60
"e C pas,pas,B z-q,C pas,B z-q,f g# ^A e B z-q,g# e ",1,1,"GENESIS","003","019",1,"e C B C B f g ^A e B g e ",36
"e c d f g# ^A d f g# f e ",3,1,"GENESIS","003","020",1,"e c d f g ^A d f g f e ",18
"e B B rev,C pas,pas,B z-q,g# B ^A B B rev,pas,C B z-q,g# f e ",1,1,"GENESIS","003","022",1,"e B C B g B ^A B C B g f e ",51
"e g# ^A t-q,qad,azl,rev,qad,C pas,pas,z-q,z-g,g# f e ",1,1,"GENESIS","003","024",1,"e g ^A C g f e ",42
"e B z-q,g# B ^A pas,pas,B z-q,z-g,f g# e ",1,1,"GENESIS","004","001",1,"e B g B ^A B f g e ",30
"e B z-q,g# ^A e pas,pas,B z-q,z-g,g# f e ",1,1,"GENESIS","004","002",1,"e B g ^A e B g f e ",29
"e qad,f d f g# ^A B z-q,g# e ",2,1,"GENESIS","004","004",1,"e f d f g ^A B g e ",30
"e f g# B ^A C pas,pas,z-q,e g# e ",1,1,"GENESIS","004","005",1,"e f g B ^A C e g e ",25
"e f g# ^A C B z-q,g# f e ",5,1,"GENESIS","004","006",1,"e f g ^A C B g f e ",21
"e f g# B ^A e pas,B z-q,f d f g# e ",1,1,"GENESIS","004","008",1,"e f g B ^A e B f d f g e ",33
"e g# B ^A C B z-q,f g# e ",2,2,"GENESIS","004","010",1,"e g B ^A C B f g e ",23
"C e pas,B z-q,f g# ^A f g# f e ",1,1,"GENESIS","004","012",1,"C e B f g ^A f g f e ",24
"e f g# ^A f g# e ",91,8,"GENESIS","004","013",1,"e f g ^A f g e ",15
"e t-q,qad,azl,rev,pas,B z-q,g# ^A azl,C pas,z-q,f g# e ",1,1,"GENESIS","004","014",1,"e B g ^A C f g e ",44
"e f g# B ^A f g# e ",67,11,"GENESIS","004","016",1,"e f g B ^A f g e ",21
"e C pas,pas,z-q,g# B ^A e pas,B z-q,pas,B z-q,g# f e ",1,1,"GENESIS","004","017",1,"e C g B ^A e B g f e ",34
"e C e pas,z-q,z-g,g# ^A rev,pas,B z-q,g# f e ",1,1,"GENESIS","004","018",1,"e C e g ^A B g f e ",40
"e f g# ^A B z-q,z-g,f g# e ",2,2,"GENESIS","004","020",1,"e f g ^A B f g e ",20
"e f g# ^A B z-q,z-g,f g# e ",2,2,"GENESIS","004","021",1,"e f g ^A B f g e ",19
"e B rev,e pas,B z-q,z-g,f g# ^A f g# e ",1,1,"GENESIS","004","022",1,"e B e B f g ^A f g e ",33
"f g# ^A g# f e ",10,1,"GENESIS","004","024",1,"f g ^A g f e ",17
"e qad,f pas,z-q,B z-q,f g# ^A B e C pas,B z-q,B z-q,f g# e ",1,1,"GENESIS","004","025",1,"e f B f g ^A B e C B f g e ",40
"e C pas,z-q,f g# ^A B z-q,g# f e ",6,2,"GENESIS","004","026",1,"e C f g ^A B g f e ",24
"B z-q,g# ^A rev,C pas,z-q,f g# f e ",1,1,"GENESIS","005","001",1,"B g ^A C f g f e ",25
"e f g# ^A B rev,C pas,z-q,g# e ",1,1,"GENESIS","005","002",1,"e f g ^A B C g e ",26
"e B rev,C pas,z-q,f g# ^A f g# e ",2,2,"GENESIS","005","003",1,"e B C f g ^A f g e ",27
"e B rev,e pas,B z-q,f g# ^A f g# e ",1,1,"GENESIS","005","004",1,"e B e B f g ^A f g e ",30
"e tar,C pas,z-q,C pas,z-q,g# ^A e ",1,1,"GENESIS","005","005",1,"e C g ^A e ",25
"e z-g,f g# B ^A g# e ",8,2,"GENESIS","005","006",1,"e f g B ^A g e ",17
"e rev,e pas,B z-q,B z-q,f g# ^A f g# e ",1,1,"GENESIS","005","007",1,"e B f g ^A f g e ",31
"e pas,z-q,C pas,z-q,f g# ^A e ",3,3,"GENESIS","005","008",1,"e C f g ^A e ",22
"e f g# B ^A g# e ",42,10,"GENESIS","005","009",1,"e f g B ^A g e ",14
"e B rev,e pas,B z-q,C pas,z-q,f g# ^A f g# e ",2,2,"GENESIS","005","010",1,"e B e B C f g ^A f g e ",34
"e pas,B z-q,B z-q,f g# ^A e ",2,2,"GENESIS","005","011",1,"e B f g ^A e ",21
"e f g# B ^A g# e ",42,10,"GENESIS","005","012",1,"e f g B ^A g e ",16
"e B rev,pas,B e z-q,B z-q,f g# ^A f g# e ",1,1,"GENESIS","005","013",1,"e B e B f g ^A f g e ",35
"e pas,B z-q,B z-q,f g# ^A e ",2,2,"GENESIS","005","014",1,"e B f g ^A e ",21
"e B e z-q,f g# B ^A g# e ",1,1,"GENESIS","005","015",1,"e B e f g B ^A g e ",21
"e B rev,e pas,B z-q,B z-q,f g# ^A f g# e ",2,2,"GENESIS","005","016",1,"e B e B f g ^A f g e ",35
"e pas,B z-q,C pas,z-q,f g# ^A e ",2,2,"GENESIS","005","017",1,"e B C f g ^A e ",27
"e z-g,c d g# B ^A g# e ",3,2,"GENESIS","005","018",1,"e c d g B ^A g e ",22
"e rev,e pas,B z-q,f g# ^A f g# e ",2,2,"GENESIS","005","019",1,"e B f g ^A f g e ",28
"e pas,z-q,C pas,z-q,f g# ^A e ",3,3,"GENESIS","005","020",1,"e C f g ^A e ",25
"e B z-q,f g# ^A g# e ",14,4,"GENESIS","005","021",1,"e B f g ^A g e ",19
"e qad,azl,e rev,e pas,B z-q,f g# ^A f g# e ",1,1,"GENESIS","005","022",1,"e B f g ^A f g e ",36
"e g# B ^A C pas,z-q,f g# e ",5,2,"GENESIS","005","023",1,"e g B ^A C f g e ",20
"e f g# ^A z-g,e f g# e ",2,1,"GENESIS","005","024",1,"e f g ^A e f g e ",23
"e B rev,e pas,B z-q,C pas,z-q,f g# ^A f g# e ",2,2,"GENESIS","005","026",1,"e B e B C f g ^A f g e ",37
"e pas,B z-q,C pas,z-q,f g# ^A e ",2,2,"GENESIS","005","027",1,"e B C f g ^A e ",26
"e z-g,c d g# B ^A g# e ",3,2,"GENESIS","005","028",1,"e c d g B ^A g e ",20
"e c d g# ^A t-g,C e pas,pas,B z-q,B z-q,f e g# e ",1,1,"GENESIS","005","029",1,"e c d g ^A C e B f e g e ",39
"e rev,e pas,B z-q,C pas,z-q,f g# ^A f g# e ",1,1,"GENESIS","005","030",1,"e B C f g ^A f g e ",35
"e pas,z-q,C pas,z-q,f g# ^A e ",3,3,"GENESIS","005","031",1,"e C f g ^A e ",23
"e z-g,f g# ^A B z-q,g# f e ",2,1,"GENESIS","005","032",1,"e f g ^A B g f e ",24
