"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e rev,f d f g# B ^A f d g# f e ",1,1,"LEVITICUS","020","021",3,"e f d f g B ^A f d g f e ",25
"e C e pas,B z-q,f g# ^A C pas,pas,z-q,g# e ",1,1,"LEVITICUS","020","023",3,"e C e B f g ^A C g e ",32
"e tar,e C pas,z-q,f g# ^A e qad,azl,B rev,pas,B B z-q,f g# e ",1,1,"LEVITICUS","020","025",3,"e C f g ^A e B f g e ",60
"e B e rev,qad,f d f g# B ^A d f g# f e ",1,1,"LEVITICUS","020","027",3,"e B e f d f g B ^A d f g f e ",31
"e C pas,z-q,f g# B ^A B z-q,f e g# e ",1,1,"LEVITICUS","021","001",3,"e C f g B ^A B f e g e ",37
"e C pas,B z-q,f e g# ^A g# e ",1,1,"LEVITICUS","021","003",3,"e C B f e g ^A g e ",24
"f g# B ^A g# e ",3,1,"LEVITICUS","021","004",3,"f g B ^A g e ",13
"e C pas,B z-q,B z-q,g# ^A t-q,qad,azl,c d f g# f e ",1,1,"LEVITICUS","021","006",3,"e C B g ^A c d f g f e ",40
"e qad,C pas,B z-q,d f g# B ^A e f g# e ",1,1,"LEVITICUS","021","007",3,"e C B d f g B ^A e f g e ",32
"e pas,B z-q,f g# ^A pas,pas,B z-q,g# e ",2,1,"LEVITICUS","021","009",3,"e B f g ^A B g e ",24
"e t-q,qad,azl,e f B C pas,B z-q,g# ^A pas,B z-q,g# f e ",1,1,"LEVITICUS","021","010",3,"e f B C B g ^A B g f e ",46
"e d f g# B ^A f g# f e ",10,3,"LEVITICUS","021","011",3,"e d f g B ^A f g f e ",19
"e z-g,f g# e ",7,1,"LEVITICUS","021","013",3,"e f g e ",10
"e C pas,B z-q,g# B ^A d f g# f e ",2,1,"LEVITICUS","021","014",3,"e C B g B ^A d f g f e ",30
"e f g# ^A d f g# e ",16,2,"LEVITICUS","021","015",3,"e f g ^A d f g e ",18
"e f g# f e ",190,27,"LEVITICUS","021","016",3,"e f g f e ",10
"f d f g# B ^A C pas,B z-q,f g# f e ",1,1,"LEVITICUS","021","018",3,"f d f g B ^A C B f g f e ",24
"B z-q,f g# B ^A g# f e ",1,1,"LEVITICUS","021","019",3,"B f g B ^A g f e ",15
"e B z-q,g# B ^A C pas,B z-q,g# f e ",3,1,"LEVITICUS","021","020",3,"e B g B ^A C B g f e ",25
"e tar,B rev,pas,pas,B z-q,B z-q,g# B ^A B z-q,C B z-q,f g# e ",1,1,"LEVITICUS","021","021",3,"e B g B ^A B C B f g e ",40
"B azl,B rev,d f g# e B ^A C pas,z-q,d f g# e ",1,1,"LEVITICUS","021","023",3,"B d f g e B ^A C d f g e ",38
"e f g# f e ",190,27,"LEVITICUS","022","001",3,"e f g f e ",10
"e qad,e azl,rev,e pas,B e z-q,f g# B ^A qad,c d g# f e ",1,1,"LEVITICUS","022","002",3,"e B e f g B ^A c d g f e ",42
"B tar,B rev,C pas,pas,B z-q,pas,B z-q,g# B ^A pas,pas,z-q,B z-q,f g# e ",1,1,"LEVITICUS","022","004",3,"B C B g B ^A B f g e ",51
"e pas,B z-q,g# B ^A C pas,B z-q,g# e ",4,1,"LEVITICUS","022","005",3,"e B g B ^A C B g e ",29
"C B z-q,g# ^A C pas,z-q,d f g# e ",1,1,"LEVITICUS","022","006",3,"C B g ^A C d f g e ",33
"e f g# ^A pas,B z-q,f g# e ",9,1,"LEVITICUS","022","007",3,"e f g ^A B f g e ",22
"e c d f g# ^A g# e ",7,2,"LEVITICUS","022","008",3,"e c d f g ^A g e ",17
"e g# B ^A f d g# f e ",1,1,"LEVITICUS","022","010",3,"e g B ^A f d g f e ",20
"e rev,e f pas,pas,B z-q,g# B ^A B z-q,g# f e ",1,1,"LEVITICUS","022","011",3,"e f B g B ^A B g f e ",26
"e z-q,f g# B ^A z-g,f g# f e ",1,1,"LEVITICUS","022","012",3,"e f g B ^A f g f e ",21
"e z-g,e f g# ^A C e pas,z-q,f g# e ",1,1,"LEVITICUS","022","014",3,"e f g ^A C e f g e ",29
"e B z-q,g# B ^A f g# e ",12,1,"LEVITICUS","022","015",3,"e B g B ^A f g e ",22
"e C pas,B z-q,g# ^A d f g# e ",4,2,"LEVITICUS","022","016",3,"e C B g ^A d f g e ",25
"e f g# f e ",190,27,"LEVITICUS","022","017",3,"e f g f e ",10
"e ^A B z-q,z-g,g# e ",1,1,"LEVITICUS","022","019",3,"e ^A B g e ",17
"d f g# B ^A f g# f e ",3,1,"LEVITICUS","022","020",3,"d f g B ^A f g f e ",18
"e rev,e C e pas,z-q,pas,pas,B z-q,g# B ^A C e pas,z-q,g# f e ",1,1,"LEVITICUS","022","021",3,"e C e B g B ^A C e g f e ",41
"e t-q,qad,azl,B e rev,C pas,B z-q,f g# ^A rev,f d g# e ",1,1,"LEVITICUS","022","022",3,"e B e C B f g ^A f d g e ",45
"e f g# B ^A pas,B z-q,g# f e ",10,1,"LEVITICUS","022","023",3,"e f g B ^A B g f e ",25
"e f g# f e ",190,27,"LEVITICUS","022","026",3,"e f g f e ",10
"e g# ^A B z-q,f g# f e ",4,1,"LEVITICUS","022","028",3,"e g ^A B f g f e ",18
"e f e g# ^A e g# e ",3,1,"LEVITICUS","022","029",3,"e f e g ^A e g e ",18
"e C pas,z-q,f g# ^A g# e ",9,2,"LEVITICUS","022","030",3,"e C f g ^A g e ",21
"e pas,z-q,g# ^A g# e ",12,2,"LEVITICUS","022","031",3,"e g ^A g e ",16
"e C pas,B z-q,qad,z-q,g# B ^A f g# e ",1,1,"LEVITICUS","022","032",3,"e C B g B ^A f g e ",28
"e C pas,B z-q,f g# ^A g# e ",8,2,"LEVITICUS","022","033",3,"e C B f g ^A g e ",22
"e f g# f e ",190,27,"LEVITICUS","023","001",3,"e f g f e ",10
"e tar,C pas,B z-q,B z-q,f g# B ^A f g# e ",1,1,"LEVITICUS","023","002",3,"e C B f g B ^A f g e ",38
"B tsi,B seg,B rev,C pas,z-q,g# B ^A f pas,e z-q,g# e ",1,1,"LEVITICUS","023","003",3,"B C g B ^A f e g e ",46
"C B z-q,g# ^A f g# e ",6,3,"LEVITICUS","023","004",3,"C B g ^A f g e ",23
"e B rev,f d g# B ^A g# e ",1,1,"LEVITICUS","023","005",3,"e B f d g B ^A g e ",25
"e qad,f pas,B z-q,f g# ^A f g# f e ",1,1,"LEVITICUS","023","006",3,"e f B f g ^A f g f e ",29
"e pas,e z-q,g# B ^A f g# f e ",1,1,"LEVITICUS","023","007",3,"e g B ^A f g f e ",24
"e f d g# B ^A C pas,z-q,f g# f e ",2,1,"LEVITICUS","023","008",3,"e f d g B ^A C f g f e ",33
"e f g# f e ",190,27,"LEVITICUS","023","009",3,"e f g f e ",10
"e tar,C pas,B z-q,e B rev,C pas,B z-q,g# ^A f d f g# e ",1,1,"LEVITICUS","023","010",3,"e C B e B C B g ^A f d f g e ",54
"e c d f g# e ^A e pas,z-q,g# e ",1,1,"LEVITICUS","023","011",3,"e c d f g e ^A e g e ",28
"e z-g,f e g# ^A B c d g# e ",1,1,"LEVITICUS","023","012",3,"e f e g ^A B c d g e ",27
"e t-q,qad,azl,B f d f g# B ^A f g# f e ",1,1,"LEVITICUS","023","013",3,"e B f d f g B ^A f g f e ",37
"e t-q,qad,azl,B e rev,pas,pas,B z-q,C B z-q,g# ^A C pas,B z-q,g# e ",1,1,"LEVITICUS","023","014",3,"e B e B C B g ^A C B g e ",47
"e C pas,B z-q,pas,B z-q,g# ^A f g# f e ",1,1,"LEVITICUS","023","015",3,"e C B g ^A f g f e ",35
"B e C pas,z-q,g# B ^A d f g# e ",1,1,"LEVITICUS","023","016",3,"B e C g B ^A d f g e ",30
"e qad,azl,B B rev,C B z-q,B z-q,g# ^A g# e ",1,1,"LEVITICUS","023","017",3,"e B C B g ^A g e ",37
"e B rev,qad,C pas,B z-q,c d g# B ^A C pas,e z-q,pas,z-q,f e g# e ",1,1,"LEVITICUS","023","018",3,"e B C B c d g B ^A C e f e g e ",58
"e d f g# ^A c d f g# f e ",1,1,"LEVITICUS","023","019",3,"e d f g ^A c d f g f e ",28
"e B B paz,t-q,qad,C pas,B z-q,g# ^A d f g# e ",1,1,"LEVITICUS","023","020",3,"e B C B g ^A d f g e ",38
"e tar,B B rev,e pas,pas,B z-q,f g# B ^A f d f g# e ",1,1,"LEVITICUS","023","021",3,"e B e B f g B ^A f d f g e ",44
"e tar,B rev,e tar,C e pas,z-q,f g# B ^A e C pas,B z-q,g# f e ",1,1,"LEVITICUS","023","022",3,"e B e C e f g B ^A e C B g f e ",51
"e f g# f e ",190,27,"LEVITICUS","023","023",3,"e f g f e ",10
"e d f g# ^A qad,azl,B rev,C pas,z-q,f g# e ",1,1,"LEVITICUS","023","024",3,"e d f g ^A B C f g e ",38
"e f g# B ^A f g# e ",67,6,"LEVITICUS","023","025",3,"e f g B ^A f g e ",20
"e f g# f e ",190,27,"LEVITICUS","023","026",3,"e f g f e ",10
"paz,B t-q,qad,azl,c B rev,e pas,pas,B z-q,g# ^A f g# e ",1,1,"LEVITICUS","023","027",3,"B c B e B g ^A f g e ",44
"e pas,B z-q,g# B ^A B C pas,z-q,B z-q,g# f e ",1,1,"LEVITICUS","023","028",3,"e B g B ^A B C B g f e ",36
"C pas,pas,B e z-q,g# B ^A g# e ",1,1,"LEVITICUS","023","029",3,"C B e g B ^A g e ",26
"e rev,C pas,z-q,g# B ^A d f g# f e ",1,1,"LEVITICUS","023","030",3,"e C g B ^A d f g f e ",37
"e g# B ^A C pas,B z-q,g# e e ",1,1,"LEVITICUS","023","031",3,"e g B ^A C B g e ",23
"e f g# f e ",190,27,"LEVITICUS","023","033",3,"e f g f e ",10
"e d f g# ^A qad,azl,rev,C pas,z-q,c d f g# e ",1,1,"LEVITICUS","023","034",3,"e d f g ^A C c d f g e ",36
"e f g# ^A f g# f e ",46,2,"LEVITICUS","023","035",3,"e f g ^A f g f e ",20
"C B z-q,f g# B ^A qad,azl,rev,c d f g# f e ",1,1,"LEVITICUS","023","037",3,"C B f g B ^A c d f g f e ",43
"e g# B ^A B e rev,C pas,pas,B z-q,f g# e ",1,1,"LEVITICUS","023","038",3,"e g B ^A B e C B f g e ",35
"paz,t-q,qad,azl,B rev,pas,B z-q,f g# B ^A C e pas,z-q,f g# e ",1,1,"LEVITICUS","023","039",3,"B f g B ^A C e f g e ",53
"e C pas,B e z-q,f g# ^A C pas,B z-q,f g# f e ",1,1,"LEVITICUS","023","041",3,"e C B e f g ^A C B f g f e ",37
"e f g# B ^A e pas,z-q,g# e ",2,1,"LEVITICUS","023","042",3,"e f g B ^A e g e ",22
"e tsi,B e seg,B rev,pas,pas,B z-q,f g# B ^A g# f e ",1,1,"LEVITICUS","023","043",3,"e B e B f g B ^A g f e ",42
"e B z-q,g# ^A g# e ",25,3,"LEVITICUS","023","044",3,"e B g ^A g e ",17
"e f g# f e ",190,27,"LEVITICUS","024","001",3,"e f g f e ",10
"e t-q,qad,azl,B rev,t-q,qad,azl,c d f g# ^A f g# e ",1,1,"LEVITICUS","024","003",3,"e B c d f g ^A f g e ",43
"C B z-q,g# ^A f g# e ",6,3,"LEVITICUS","024","004",3,"C B g ^A f g e ",20
"e B z-q,B z-q,f g# ^A pas,z-q,g# f e ",1,1,"LEVITICUS","024","005",3,"e B f g ^A g f e ",31
"e f e g# B ^A C pas,pas,z-q,g# e ",1,1,"LEVITICUS","024","007",3,"e f e g B ^A C g e ",30
"e qad,azl,B rev,d f g# ^A f e g# f e ",1,1,"LEVITICUS","024","008",3,"e B d f g ^A f e g f e ",31
"e pas,B z-q,pas,B z-q,g# B ^A pas,e z-q,C z-q,g# e ",1,1,"LEVITICUS","024","010",3,"e B g B ^A e C g e ",44
"t-g,e qad,C pas,z-q,f g# ^A f d f g# e ",1,1,"LEVITICUS","024","011",3,"e C f g ^A f d f g e ",41
"e g# ^A f g# f e ",36,4,"LEVITICUS","024","012",3,"e g ^A f g f e ",16
"e f g# f e ",190,27,"LEVITICUS","024","013",3,"e f g f e ",10
"e f g# B ^A f d e f g# f e ",1,1,"LEVITICUS","024","015",3,"e f g B ^A f d e f g f e ",26
"e C pas,B z-q,f g# ^A pas,e z-q,g# e ",1,1,"LEVITICUS","024","016",3,"e C B f g ^A e g e ",30
"e z-g,f g# B ^A g# e ",8,1,"LEVITICUS","024","017",3,"e f g B ^A g e ",13
"e z-g,e f g# ^A B z-q,g# f e ",1,1,"LEVITICUS","024","019",3,"e f g ^A B g f e ",20
"C B z-q,C B z-q,g# B ^A qad,f pas,z-q,g# f e ",1,1,"LEVITICUS","024","020",3,"C B C B g B ^A f g f e ",30
"e C pas,B z-q,f g# ^A d f g# e ",4,1,"LEVITICUS","024","022",3,"e C B f g ^A d f g e ",24
"e C pas,z-q,f g# e ",17,1,"LEVITICUS","025","001",3,"e C f g e ",14
"e tar,C pas,B z-q,C pas,pas,z-q,f g# B ^A B z-q,g# e ",1,1,"LEVITICUS","025","002",3,"e C B C f g B ^A B g e ",42
"C pas,B z-q,f g# B ^A g# e ",3,1,"LEVITICUS","025","003",3,"C B f g B ^A g e ",26
"t-g,qad,C pas,z-q,g# B ^A e pas,B z-q,g# e ",1,1,"LEVITICUS","025","006",3,"C g B ^A e B g e ",38
"e qad,z-q,e g# B ^A f g# e ",1,1,"LEVITICUS","025","007",3,"e g B ^A f g e ",25
"e B rev,C B z-q,f g# B ^A B rev,pas,C B z-q,f g# e ",1,1,"LEVITICUS","025","008",3,"e B C B f g B ^A B C B f g e ",43
"e rev,B C pas,z-q,f d g# ^A f pas,B z-q,rev,C z-q,f g# e ",1,1,"LEVITICUS","025","010",3,"e B C f d g ^A f B C f g e ",52
"e B rev,d f g# B ^A B z-q,C pas,z-q,f g# e ",1,1,"LEVITICUS","025","011",3,"e B d f g B ^A B C f g e ",39
"C B z-q,g# B ^A qad,z-q,g# e ",1,1,"LEVITICUS","025","012",3,"C B g B ^A g e ",21
"e C pas,z-q,f g# B ^A g# f e ",2,1,"LEVITICUS","025","014",3,"e C f g B ^A g f e ",28
"e C pas,B z-q,g# B ^A f e g# e ",1,1,"LEVITICUS","025","015",3,"e C B g B ^A f e g e ",29
"e C pas,B z-q,g# ^A d f g# e ",4,2,"LEVITICUS","025","017",3,"e C B g ^A d f g e ",27
"e pas,z-q,f g# B ^A f g# e ",6,2,"LEVITICUS","025","018",3,"e f g B ^A f g e ",32
"e C pas,pas,z-q,g# ^A f g# e ",2,1,"LEVITICUS","025","019",3,"e C g ^A f g e ",24
"e C pas,z-q,g# ^A pas,z-q,g# e ",2,1,"LEVITICUS","025","021",3,"e C g ^A g e ",28
"e rev,C B z-q,g# B ^A B B rev,pas,B z-q,g# e ",1,1,"LEVITICUS","025","022",3,"e C B g B ^A B g e ",37
"e rev,C pas,z-q,g# ^A e c d g# e ",1,1,"LEVITICUS","025","023",3,"e C g ^A e c d g e ",28
"e B z-q,g# ^A C e pas,B z-q,z-g,g# f e ",1,1,"LEVITICUS","025","025",3,"e B g ^A C e B g f e ",32
"e z-g,d f e g# ^A B z-q,g# f e ",1,1,"LEVITICUS","025","026",3,"e d f e g ^A B g f e ",24
"e qad,e azl,rev,tsi,B seg,B rev,pas,B z-q,g# B ^A pas,z-q,g# e ",1,1,"LEVITICUS","025","028",3,"e B g B ^A g e ",43
"e rev,e C pas,B z-q,pas,z-q,g# B ^A g# f e ",1,1,"LEVITICUS","025","029",3,"e C B g B ^A g f e ",33
"e B rev,qad,C pas,z-q,f g# ^A pas,z-q,g# e ",1,1,"LEVITICUS","025","031",3,"e B C f g ^A g e ",37
"e pas,z-q,g# B ^A f g# f e ",5,1,"LEVITICUS","025","032",3,"e g B ^A f g f e ",24
"e C pas,z-q,c d f g# ^A B tar,B rev,C z-q,g# f e ",1,1,"LEVITICUS","025","033",3,"e C c d f g ^A B C g f e ",45
"e d f g# B ^A e f d g# e ",1,1,"LEVITICUS","025","034",3,"e d f g B ^A e f d g e ",20
"e B z-q,f g# ^A B z-q,c d g# e ",1,1,"LEVITICUS","025","035",3,"e B f g ^A B c d g e ",28
"e C e pas,B z-q,g# ^A f g# e ",1,1,"LEVITICUS","025","036",3,"e C e B g ^A f g e ",27
"qad,z-q,e f g# ^A g# f e ",1,1,"LEVITICUS","025","037",3,"e f g ^A g f e ",20
"e rev,pas,B z-q,f g# B ^A C pas,B z-q,f g# e ",1,1,"LEVITICUS","025","038",3,"e B f g B ^A C B f g e ",38
"e f d g# ^A f g# f e ",5,1,"LEVITICUS","025","039",3,"e f d g ^A f g f e ",23
"e f g# B ^A f g# f e ",49,1,"LEVITICUS","025","040",3,"e f g B ^A f g f e ",21
"e pas,e z-q,g# B ^A pas,z-q,f g# e ",1,1,"LEVITICUS","025","041",3,"e g B ^A f g e ",28
"e B z-q,f g# B ^A f g# f e ",6,1,"LEVITICUS","025","042",3,"e B f g B ^A f g f e ",27
"e f g# ^A g# e ",57,3,"LEVITICUS","025","043",3,"e f g ^A g e ",16
"e f g# B ^A B rev,pas,B z-q,f g# f e ",1,1,"LEVITICUS","025","044",3,"e f g B ^A B f g f e ",34
"t-g,qad,azl,C pas,B z-q,pas,B z-q,f g# ^A f g# e ",1,1,"LEVITICUS","025","045",3,"C B f g ^A f g e ",46
"e qad,azl,C pas,B z-q,g# B ^A qad,C e pas,B z-q,f g# e ",1,1,"LEVITICUS","025","046",3,"e C B g B ^A C e B f g e ",49
"e B rev,B C pas,z-q,f g# ^A rev,C pas,z-q,f g# f e ",1,1,"LEVITICUS","025","047",3,"e B C f g ^A C f g f e ",35
"e B z-q,g# ^A f g# e ",24,2,"LEVITICUS","025","048",3,"e B g ^A f g e ",20
"e tar,C pas,z-q,e c d g# ^A e f g# e ",1,1,"LEVITICUS","025","049",3,"e C e c d g ^A e f g e ",34
"e pas,z-q,pas,B z-q,g# B ^A tar,C pas,B z-q,f g# f e ",1,1,"LEVITICUS","025","050",3,"e B g B ^A C B f g f e ",40
"e f g# ^A pas,B z-q,g# e ",17,1,"LEVITICUS","025","051",3,"e f g ^A B g e ",22
"e tar,c d f g# ^A B z-q,g# e ",1,1,"LEVITICUS","025","052",3,"e c d f g ^A B g e ",30
"e f d g# B ^A f e g# e ",1,1,"LEVITICUS","025","053",3,"e f d g B ^A f e g e ",22
"e f g# ^A pas,B z-q,g# f e ",8,1,"LEVITICUS","025","054",3,"e f g ^A B g f e ",23
"e C e pas,z-q,B z-q,f g# B ^A g# f e ",1,1,"LEVITICUS","025","055",3,"e C e B f g B ^A g f e ",35
"e qad,azl,rev,C pas,e B z-q,B rev,C pas,z-q,e g# ^A d f g# e ",1,1,"LEVITICUS","026","001",3,"e C e B C e g ^A d f g e ",51
"e B z-q,g# ^A g# e ",25,3,"LEVITICUS","026","002",3,"e B g ^A g e ",18
"e g# ^A B z-q,g# e ",17,3,"LEVITICUS","026","003",3,"e g ^A B g e ",22
"e f g# ^A C pas,pas,z-q,f g# f e ",2,2,"LEVITICUS","026","004",3,"e f g ^A C f g f e ",28
"e qad,f pas,pas,z-q,g# B ^A C pas,z-q,f g# e ",1,1,"LEVITICUS","026","005",3,"e f g B ^A C f g e ",38
"e C pas,z-q,g# B ^A tar,C pas,z-q,g# f e ",2,1,"LEVITICUS","026","006",3,"e C g B ^A C g f e ",40
"e g# ^A f g# e ",56,4,"LEVITICUS","026","007",3,"e g ^A f g e ",16
"e qad,C pas,z-q,f g# B ^A c d g# e ",1,1,"LEVITICUS","026","008",3,"e C f g B ^A c d g e ",33
"e f g# ^A z-g,f g# e ",14,1,"LEVITICUS","026","010",3,"e f g ^A f g e ",18
"e f g# ^A f g# e ",91,7,"LEVITICUS","026","011",3,"e f g ^A f g e ",18
"e pas,B z-q,f g# ^A g# f e ",9,2,"LEVITICUS","026","012",3,"e B f g ^A g f e ",25
"e tar,B e rev,qad,C pas,B z-q,e f g# ^A pas,B z-q,f g# e ",1,1,"LEVITICUS","026","013",3,"e B e C B e f g ^A B f g e ",43
"e f g# ^A B z-q,f g# e ",15,2,"LEVITICUS","026","014",3,"e f g ^A B f g e ",20
"e B z-q,f g# B ^A C pas,z-q,g# e ",1,1,"LEVITICUS","026","015",3,"e B f g B ^A C g e ",38
"e tar,B rev,qad,C e pas,B z-q,f g# B ^A C pas,z-q,g# e ",1,1,"LEVITICUS","026","016",3,"e B C e B f g B ^A C g e ",57
"e qad,z-q,f g# ^A pas,B z-q,g# e ",1,1,"LEVITICUS","026","018",3,"e f g ^A B g e ",26
"e g# B ^A C pas,z-q,e g# e ",1,1,"LEVITICUS","026","019",3,"e g B ^A C e g e ",28
"e f g# ^A e C pas,z-q,B z-q,f g# e ",1,1,"LEVITICUS","026","020",3,"e f g ^A e C B f g e ",28
"e qad,azl,C pas,B z-q,pas,pas,z-q,g# ^A g# e ",1,1,"LEVITICUS","026","022",3,"e C B g ^A g e ",39
"e qad,z-q,f g# ^A f g# e ",3,2,"LEVITICUS","026","023",3,"e f g ^A f g e ",18
"e c d g# ^A C pas,z-q,g# e ",3,1,"LEVITICUS","026","024",3,"e c d g ^A C g e ",29
"e qad,azl,rev,pas,pas,z-q,g# ^A C pas,pas,B z-q,g# e ",1,1,"LEVITICUS","026","025",3,"e g ^A C B g e ",42
"e qad,z-q,f g# ^A f g# e ",3,2,"LEVITICUS","026","027",3,"e f g ^A f g e ",18
"e f g# ^A C pas,z-q,g# e ",6,1,"LEVITICUS","026","028",3,"e f g ^A C g e ",28
"e g# B ^A f g# e ",29,2,"LEVITICUS","026","029",3,"e g B ^A f g e ",18
"e tar,e rev,pas,B z-q,e pas,z-q,g# ^A f g# e ",1,1,"LEVITICUS","026","030",3,"e B e g ^A f g e ",41
"e f g# ^A e C pas,pas,e z-q,g# e ",1,1,"LEVITICUS","026","032",3,"e f g ^A e C e g e ",24
"e pas,B z-q,f g# ^A C pas,z-q,g# f e ",3,1,"LEVITICUS","026","033",3,"e B f g ^A C g f e ",37
"e t-q,qad,azl,rev,C B z-q,g# B ^A C B z-q,g# e ",1,1,"LEVITICUS","026","034",3,"e C B g B ^A C B g e ",40
"e B z-q,C pas,pas,z-q,g# ^A B rev,C B z-q,c e d g# f e ",1,1,"LEVITICUS","026","036",3,"e B C g ^A B C B c e d g f e ",47
"e B rev,pas,pas,z-q,g# ^A d f g# f e ",1,1,"LEVITICUS","026","039",3,"e B g ^A d f g f e ",34
"e C pas,B z-q,g# B e ^A z-g,f g# e ",1,1,"LEVITICUS","026","040",3,"e C B g B e ^A f g e ",36
"e g# B ^A t-q,qad,azl,qad,c d g# f e ",1,1,"LEVITICUS","026","042",3,"e g B ^A c d g f e ",36
"e t-q,qad,azl,B rev,pas,z-q,g# B ^A B z-q,B z-q,g# f e ",1,1,"LEVITICUS","026","043",3,"e B g B ^A B g f e ",52
"e t-g,e tar,B rev,e C e pas,z-q,f g# ^A d f g# e ",1,1,"LEVITICUS","026","044",3,"e B e C e f g ^A d f g e ",43
"t-g,e B tsi,seg,pas,B z-q,z-g,g# B ^A f g# e ",1,1,"LEVITICUS","026","046",3,"e B g B ^A f g e ",37
"e f g# f e ",190,27,"LEVITICUS","027","001",3,"e f g f e ",10
"e tar,C pas,B z-q,z-g,f g# ^A f g# e ",1,1,"LEVITICUS","027","002",3,"e C B f g ^A f g e ",31
"e C pas,z-q,pas,B z-q,g# B ^A B rev,d f g# f e ",1,1,"LEVITICUS","027","003",3,"e C B g B ^A B d f g f e ",41
"e qad,azl,rev,pas,B z-q,c d g# B ^A g# f e ",1,1,"LEVITICUS","027","005",3,"e B c d g B ^A g f e ",39
"e B rev,pas,B z-q,C pas,z-q,f g# ^A B z-q,f g# e ",1,1,"LEVITICUS","027","006",3,"e B C f g ^A B f g e ",45
"e f pas,e z-q,e pas,B z-q,f g# ^A rev,C pas,B z-q,g# e ",1,1,"LEVITICUS","027","008",3,"e f e B f g ^A C B g e ",45
"e z-q,qad,c d g# e ^A t-q,qad,f d g# e ",1,1,"LEVITICUS","027","009",3,"e c d g e ^A f d g e ",33
"e pas,B z-q,t-g,c d g# e ^A e f g# f e ",1,1,"LEVITICUS","027","011",3,"e B c d g e ^A e f g f e ",36
"e C pas,z-q,f g# B ^A f g# f e ",10,1,"LEVITICUS","027","012",3,"e C f g B ^A f g f e ",24
"e g# ^A f g# e ",56,4,"LEVITICUS","027","013",3,"e g ^A f g e ",19
"e qad,z-q,g# ^A t-g,c e d g# f e ",1,1,"LEVITICUS","027","015",3,"e g ^A c e d g f e ",27
"e B B rev,f pas,e z-q,f g# B ^A C B z-q,g# f e ",1,1,"LEVITICUS","027","016",3,"e B f e f g B ^A C B g f e ",39
"e B tsi,B seg,qad,azl,rev,C pas,B z-q,g# B ^A g# e ",1,1,"LEVITICUS","027","018",3,"e B C B g B ^A g e ",45
"e C pas,z-q,f g# B ^A f g# e ",3,1,"LEVITICUS","027","020",3,"e C f g B ^A f g e ",26
"e qad,azl,B rev,d e g# B ^A g# f e ",1,1,"LEVITICUS","027","021",3,"e B d e g B ^A g f e ",31
"e pas,B z-q,z-g,g# B ^A g# e ",2,1,"LEVITICUS","027","022",3,"e B g B ^A g e ",22
"e C pas,B z-q,f g# ^A g# f e ",8,1,"LEVITICUS","027","024",3,"e C B f g ^A g f e ",29
"e z-q,g# B ^A f g# f e ",1,1,"LEVITICUS","027","025",3,"e g B ^A f g f e ",22
"e tar,C e pas,z-q,e f g# ^A B z-q,e g# e ",1,1,"LEVITICUS","027","026",3,"e C e f g ^A B e g e ",28
"e paz,B t-q,qad,e azl,rev,C pas,B z-q,f g# B ^A z-g,e f g# e ",1,1,"LEVITICUS","027","028",3,"e B e C B f g B ^A e f g e ",52
"e rev,c d g# B ^A g# e ",2,1,"LEVITICUS","027","029",3,"e c d g B ^A g e ",19
"e qad,azl,C pas,pas,B z-q,g# ^A g# e ",2,1,"LEVITICUS","027","030",3,"e C B g ^A g e ",26
"e C pas,z-q,f g# B ^A z-g,e g# e ",1,1,"LEVITICUS","027","032",3,"e C f g B ^A e g e ",30
"c d e f g# B ^A B z-q,e c d e g# f e ",1,1,"LEVITICUS","027","033",3,"c d e f g B ^A B e c d e g f e ",38
"e qad,c d f g# B ^A t-q,qad,azl,B rev,d f g# e ",1,1,"NUMBERS","001","001",4,"e c d f g B ^A B d f g e ",44
"e rev,pas,B e z-q,g# B ^A B z-q,g# e ",1,1,"NUMBERS","001","002",4,"e B e g B ^A B g e ",35
"e B z-q,f g# ^A d f g# e ",6,1,"NUMBERS","001","004",4,"e B f g ^A d f g e ",18
"e pas,pas,B e z-q,f g# ^A z-g,g# e ",1,1,"NUMBERS","001","005",4,"e B e f g ^A g e ",26
"e z-g,g# e ",6,6,"NUMBERS","001","006",4,"e g e ",12
"e z-g,g# e ",6,6,"NUMBERS","001","007",4,"e g e ",10
"e qad,z-q,g# e ",4,3,"NUMBERS","001","008",4,"e g e ",10
"e z-g,g# e ",6,6,"NUMBERS","001","009",4,"e g e ",9
"e B z-q,z-g,g# ^A z-g,g# e ",1,1,"NUMBERS","001","010",4,"e B g ^A g e ",26
"e qad,z-q,g# e ",4,3,"NUMBERS","001","011",4,"e g e ",11
"e z-g,g# e ",6,6,"NUMBERS","001","012",4,"e g e ",11
"e z-g,g# e ",6,6,"NUMBERS","001","013",4,"e g e ",9
"e z-g,g# e ",6,6,"NUMBERS","001","014",4,"e g e ",9
"C B z-q,g# B ^A d f g# e ",2,1,"NUMBERS","001","016",4,"C B g B ^A d f g e ",24
"e f g# ^A C B z-q,f g# e ",5,1,"NUMBERS","001","017",4,"e f g ^A C B f g e ",24
"e qad,azl,rev,pas,B z-q,e f g# B ^A B rev,qad,f d g# e ",1,1,"NUMBERS","001","018",4,"e B e f g B ^A B f d g e ",51
